pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
11 Com,b,11 Com b,Radial Velocity,0,1,326.03,1.29,0.231,,19.4,Msini,,,0,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,93.37,4.74,V (Johnson),4.372,4742,2.7,19,5/14/14,Xinglong Station
11 UMi,b,11 UMi b,Radial Velocity,0,1,516.21997,1.53,0.08,,14.74,Msini,,,0,0,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,125.72,5.016,V (Johnson),4.5,4213,2.78,29.79,9/6/18,Thueringer Landessternwarte Tautenburg
14 And,b,14 And b,Radial Velocity,0,1,185.84,0.83,0,,4.8,Msini,,,0,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,75.59,5.227,V (Johnson),4.872,4813,2.2,11,5/14/14,Okayama Astrophysical Observatory
14 Her,b,14 Her b,Radial Velocity,0,1,1773.40002,2.93,0.37,,4.66,Msini,,,0,0,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,17.94,6.61,V (Johnson),6.379,5338,0.9,0.93,9/6/18,W. M. Keck Observatory
16 Cyg B,b,16 Cyg B b,Radial Velocity,0,1,798.5,1.66,0.68,,1.78,Msini,,,0,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.15,21.15,6.25,V (Johnson),6.057,5750,1.08,1.13,9/6/18,Multiple Observatories
18 Del,b,18 Del b,Radial Velocity,0,1,993.3,2.6,0.08,,10.3,Msini,,,0,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,76.38,5.506,V (Johnson),5.244,4979,2.3,8.5,5/14/14,Okayama Astrophysical Observatory
1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,0,1,,330,,,8,Mass,,,0,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145,139.67,,,12.057,4060,0.85,,4/1/15,Gemini Observatory
24 Boo,b,24 Boo b,Radial Velocity,0,1,30.3506,0.19,0.042,,0.91,Msini,,,0,0,0,0,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,96.25,5.58,V (Johnson),5.305,4893,0.99,10.64,4/26/18,Okayama Astrophysical Observatory
24 Sex,b,24 Sex b,Radial Velocity,0,2,452.8,1.333,0.09,,1.99,Msini,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,72.21,6.441,V (Johnson),6.198,5098,1.54,4.9,5/14/14,Lick Observatory
24 Sex,c,24 Sex c,Radial Velocity,0,2,883,2.08,0.29,,0.86,Msini,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,72.21,6.441,V (Johnson),6.198,5098,1.54,4.9,5/14/14,Lick Observatory
2MASS J01033563-5515561 A,b,2MASS J01033563-5515561 AB b,Imaging,0,1,,84,,,13,Mass,,,0,0,0,0,01h03m35.63s,15.898458,-55d15m56.1s,-55.265583,47.2,,,,,,0.19,,9/3/20,Paranal Observatory
2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,0,1,,52,,,24.5,Mass,,,0,0,0,0,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36,33.86,14.24,V (Johnson),12.903,3530,0.4,,5/14/14,W. M. Keck Observatory
2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,0,1,,156,,,13.9,Mass,1.44,,0,0,0,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.4,40.09,,,15.012,3064,0.11,0.28,5/14/15,Cerro Tololo Inter-American Observatory
2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,0,1,,15,,,7.5,Mass,,,0,0,0,0,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140,120.42,,,18.967,,0.02,,5/14/14,Hubble Space Telescope
2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,0,1,,46,,,4,Mass,,,0,0,0,0,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,64.42,64.42,20.15,V (Johnson),17.408,,0.02,,5/14/14,Paranal Observatory
2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,0,1,416,0.92,,,1.9,Mass,,,0,1,0,0,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,400.77,400.77,12.264,Kepler-band,12.138,,0.48,,6/4/15,Kepler
2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,0,1,7336.5,,0.26,46.2,20.95,Mass,0.92,,0,0,0,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25,33.12,,,17.396,2300,0.08,0.12,5/14/14,W. M. Keck Observatory
2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,0,1,,230,,,12.5,Mass,,,0,0,0,1,22h36m24.53s,339.102203,+47d51m42.6s,47.86182,74,69.71,12.51,V (Johnson),11.948,4045,0.6,,11/10/16,W. M. Keck Observatory
30 Ari B,b,30 Ari B b,Radial Velocity,0,1,335.10001,0.99,0.29,,13.82,Msini,,,0,0,0,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,44.71,44.71,6.962,V (Johnson),6.961,6331,1.93,1.41,9/6/18,Thueringer Landessternwarte Tautenburg
4 UMa,b,4 UMa b,Radial Velocity,0,1,269.3,0.87,0.432,,7.1,Msini,,,0,0,0,0,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,73.58,73.58,4.61,V (Johnson),4.16,4415,1.23,18.11,5/14/14,Thueringer Landessternwarte Tautenburg
42 Dra,b,42 Dra b,Radial Velocity,0,1,479.1,1.19,0.38,,3.88,Msini,,,0,0,0,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,90.86,90.86,4.82,V (Johnson),4.364,4200,0.98,22.03,5/14/14,Thueringer Landessternwarte Tautenburg
47 UMa,b,47 UMa b,Radial Velocity,0,3,1078,2.1,0.032,,2.53,Msini,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,13.8,5.05,V (Johnson),4.831,5892,1.03,1.23,5/14/14,Lick Observatory
47 UMa,c,47 UMa c,Radial Velocity,0,3,2391,3.6,0.098,,0.54,Msini,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,13.8,5.05,V (Johnson),4.831,5892,1.03,1.23,5/14/14,Lick Observatory
47 UMa,d,47 UMa d,Radial Velocity,0,3,14002,11.6,0.16,,1.64,Msini,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,13.8,5.05,V (Johnson),4.831,5892,1.03,1.23,5/14/14,Lick Observatory
51 Eri,b,51 Eri b,Imaging,0,1,11688,12,0.45,133,,,,,0,0,0,1,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.4,29.78,5.23,V (Johnson),5.122,,1.75,,7/11/19,Gemini Observatory
51 Peg,b,51 Peg b,Radial Velocity,0,1,4.230785,0.0527,0.013,,0.472,Msini,,,0,0,0,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.47,15.47,5.5,V (Johnson),5.256,5793,1.12,1.2,5/14/14,Haute-Provence Observatory
55 Cnc,b,55 Cnc b,Radial Velocity,0,5,14.65152,0.115227,0.0034,90,0.8306,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,12.59,5.96,V (Johnson),5.714,5196,0.91,0.94,10/29/14,Lick Observatory
55 Cnc,c,55 Cnc c,Radial Velocity,0,5,44.4175,0.241376,0.02,90,0.1714,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,12.59,5.96,V (Johnson),5.714,5196,0.91,0.94,10/29/14,McDonald Observatory
55 Cnc,d,55 Cnc d,Radial Velocity,0,5,4825,5.503,0.019,90,3.878,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,12.59,5.96,V (Johnson),5.714,5196,0.91,0.94,10/29/14,Lick Observatory
55 Cnc,e,55 Cnc e,Radial Velocity,0,5,0.736539,0.01544,,83.3,0.02542,Mass,0.17,6.4,0,0,0,2,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,12.59,5.96,V (Johnson),5.714,5196,0.91,0.94,1/31/19,McDonald Observatory
55 Cnc,f,55 Cnc f,Radial Velocity,0,5,262,0.788,0.305,90,0.141,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,12.59,5.96,V (Johnson),5.714,5196,0.91,0.94,10/29/14,Multiple Observatories
6 Lyn,b,6 Lyn b,Radial Velocity,0,1,934.3,2.11,0.073,,2.01,Msini,,,0,0,0,0,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,54.74,54.74,5.86,V (Johnson),5.588,4938,1.44,5.2,12/6/18,Okayama Astrophysical Observatory
61 Vir,b,61 Vir b,Radial Velocity,0,3,4.215,0.050201,0.12,,0.016,Msini,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,8.51,4.74,V (Johnson),4.477,5577,0.94,0.96,5/14/14,Multiple Observatories
61 Vir,c,61 Vir c,Radial Velocity,0,3,38.021,0.2175,0.14,,0.057,Msini,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,8.51,4.74,V (Johnson),4.477,5577,0.94,0.96,5/14/14,Multiple Observatories
61 Vir,d,61 Vir d,Radial Velocity,0,3,123.01,0.476,0.35,,0.072,Msini,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,8.51,4.74,V (Johnson),4.477,5577,0.94,0.96,5/14/14,Multiple Observatories
7 CMa,b,7 CMa b,Radial Velocity,0,2,735.1,1.758,0.06,90,1.85,Msin(i)/sin(i),,,0,0,0,0,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.82,19.82,3.92,V (Johnson),3.578,4826,1.34,4.87,10/24/19,Anglo-Australian Telescope
7 CMa,c,7 CMa c,Radial Velocity,0,2,996,2.153,0.08,90,0.87,Msin(i)/sin(i),,,0,0,0,0,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.82,19.82,3.92,V (Johnson),3.578,4826,1.34,4.87,10/24/19,Multiple Observatories
70 Vir,b,70 Vir b,Radial Velocity,0,1,116.688,0.481,0.3988,,7.416,Msini,,,0,0,0,0,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,17.91,17.91,4.97,V (Johnson),4.709,5495,1.09,1.89,12/6/18,Lick Observatory
75 Cet,b,75 Cet b,Radial Velocity,0,1,691.9,2.1,0.117,,3,Msini,,,0,0,0,0,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,83.15,83.15,5.35,V (Johnson),5.055,4846,2.49,10.5,9/3/15,Okayama Astrophysical Observatory
8 UMi,b,8 UMi b,Radial Velocity,0,1,93.4,0.49,0.06,,1.31,Msini,,,0,0,0,0,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,163.32,163.32,6.83,V (Johnson),6.559,4847,1.44,10.3,9/6/18,Bohyunsan Optical Astronomical Observatory
81 Cet,b,81 Cet b,Radial Velocity,0,1,952.7,2.5,0.206,,5.3,Msini,,,0,0,0,0,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,101.53,101.53,5.65,V (Johnson),5.349,4785,2.4,11,5/14/14,Okayama Astrophysical Observatory
91 Aqr,b,91 Aqr b,Radial Velocity,0,1,181.4,0.7,0.027,,3.2,Msini,,,0,0,0,0,23h15m53.50s,348.9729,-09d05m15.9s,-9.087737,44.08,44.08,4.25,V (Johnson),3.863,4665,1.4,11,5/14/14,Lick Observatory
AB Pic,b,AB Pic b,Imaging,0,1,,260,,,13.5,Mass,,,0,0,0,0,06h19m12.91s,94.803802,-58d03m15.5s,-58.05431,50.12,50.12,9.128,V (Johnson),8.838,,,,5/14/14,Paranal Observatory
AU Mic,b,AU Mic b,Transit,0,1,8.46321,0.066,0.1,,0.18,Msini,0.375,4.4,0,0,0,0,20h45m09.53s,311.289703,-31d20m27.2s,-31.340899,9.79,9.72,8.81,V (Johnson),7.84,3700,0.5,0.75,6/24/20,Transiting Exoplanet Survey Satellite (TESS)
BD+03 2562,b,BD+03 2562 b,Radial Velocity,0,1,481.9,1.3,0.2,,6.4,Msini,,,0,0,0,0,11h50m15.55s,177.564804,+02d45m36.5s,2.760142,2618,1106.93,9.58,V (Johnson),8.998,4095,1.14,32.35,6/15/17,Multiple Observatories
BD+14 4559,b,BD+14 4559 b,Radial Velocity,0,1,268.94,0.78,0.29,,1.04,Msini,,,0,0,0,0,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,49.42,49.42,9.63,V (Johnson),9.351,4864,0.49,0.86,9/6/18,McDonald Observatory
BD+15 2375,b,BD+15 2375 b,Radial Velocity,0,1,153.22,0.576,0.001,,1.061,Msini,,,0,0,0,0,11h45m55.72s,176.482174,+14d36m59.0s,14.616381,774,785.38,10.31,V (Johnson),9.992,4649,1.08,8.95,2/4/16,Roque de los Muchachos Observatory
BD+15 2940,b,BD+15 2940 b,Radial Velocity,0,1,137.48,0.539,0.26,,1.11,Msini,,,0,0,0,0,16h00m22.94s,240.095566,+15d32m48.9s,15.54693,431.61,431.61,9.046,V (Johnson),8.718,4796,1.1,14.7,5/14/14,McDonald Observatory
BD+20 2457,b,BD+20 2457 b,Radial Velocity,0,2,379.63,1.05,0.15,,55.59,Msini,,,0,0,0,0,10h16m44.86s,154.18691,+19d53m29.1s,19.891409,1670.85,1670.85,9.75,V (Johnson),9.227,4259,10.83,71.02,9/6/18,McDonald Observatory
BD+20 2457,c,BD+20 2457 c,Radial Velocity,0,2,621.99,2.01,0.18,,12.47,Msini,,,0,0,0,0,10h16m44.86s,154.18691,+19d53m29.1s,19.891409,1670.85,1670.85,9.75,V (Johnson),9.227,4259,10.83,71.02,5/14/14,McDonald Observatory
BD+20 274,b,BD+20 274 b,Radial Velocity,0,1,578.2,1.3,0.21,,4.2,Msini,,,0,0,0,0,01h43m40.88s,25.920324,+21d00m19.1s,21.005314,1383.85,1383.85,9.36,V (Johnson),8.916,4296,0.8,17.3,9/18/15,McDonald Observatory
BD+20 594,b,BD+20 594 b,Transit,0,1,41.6855,,0,89.55,0.07,Mass,0.23,,0,0,1,1,03h34m36.23s,53.650967,+20d35m57.2s,20.599232,180.39,180.39,11.038,V (Johnson),10.864,5766,1.67,1.08,4/26/18,K2
BD+48 738,b,BD+48 738 b,Radial Velocity,0,1,392.6,1,0.2,,0.91,Msini,,,0,0,0,0,02h42m50.45s,40.710224,+49d35m13.1s,49.58696,892.17,892.17,9.14,V (Johnson),8.656,4414,0.74,11,8/13/15,McDonald Observatory
BD+48 740,b,BD+48 740 b,Radial Velocity,0,1,733,1.7,0.76,,1.7,Msini,,,0,0,0,0,02h42m58.22s,40.742569,+48d55m48.2s,48.930061,678.94,678.94,8.699,V (Johnson),8.264,4534,1.09,10.33,2/1/18,Multiple Observatories
BD+49 828,b,BD+49 828 b,Radial Velocity,0,1,2590,4.2,0.35,,1.6,Msini,,,0,0,0,0,03h02m33.73s,45.640529,+49d43m48.0s,49.730011,447.59,447.59,9.38,V (Johnson),9.029,4943,1.52,7.6,2/5/15,McDonald Observatory
BD-06 1339,b,BD-06 1339 b,Radial Velocity,0,2,3.8728,0.0428,0,,0.027,Msini,,,0,0,0,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.28,20.28,9.7,V (Johnson),9.107,4324,0.7,,5/14/14,La Silla Observatory
BD-06 1339,c,BD-06 1339 c,Radial Velocity,0,2,125.94,0.435,0.31,,0.17,Msini,,,0,0,0,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.28,20.28,9.7,V (Johnson),9.107,4324,0.7,,5/14/14,La Silla Observatory
BD-08 2823,b,BD-08 2823 b,Radial Velocity,0,2,5.6,0.06,0.15,,0.04,Msini,,,0,0,0,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.51668,41.38,41.38,9.88,V (Johnson),9.503,4816,0.5,0.71,9/6/18,La Silla Observatory
BD-08 2823,c,BD-08 2823 c,Radial Velocity,0,2,237.6,0.68,0.19,,0.33,Msini,,,0,0,0,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.51668,41.38,41.38,9.88,V (Johnson),9.503,4816,0.5,0.71,5/14/14,La Silla Observatory
BD-10 3166,b,BD-10 3166 b,Radial Velocity,0,1,3.48777,0.04,0.02,,0.59,Msini,,,0,0,0,0,10h58m28.80s,164.620003,-10d46m13.4s,-10.770376,84.61,84.61,10.08,V (Johnson),9.84,5393,1.47,0.91,9/6/18,W. M. Keck Observatory
BD-11 4672,b,BD-11 4672 b,Radial Velocity,0,2,1634,2.36,0.05,,0.65,Msini,,,0,0,0,0,18h33m28.84s,278.370148,-11d38m09.7s,-11.636039,27.3,27.19,9.99,V (Johnson),9.485,4550,0.65,0.64,7/23/20,La Silla Observatory
BD-11 4672,c,BD-11 4672 c,Radial Velocity,0,2,74.2,0.3,0.4,,0.04836,Msini,,,0,0,0,0,18h33m28.84s,278.370148,-11d38m09.7s,-11.636039,27.3,27.19,9.99,V (Johnson),9.485,4550,0.65,0.64,7/23/20,Roque de los Muchachos Observatory
BD-13 2130,b,BD-13 2130 b,Radial Velocity,0,1,714.29999,1.66,0.21,,9.78,Msini,,,0,0,0,0,07h37m09.23s,114.288458,-13d54m23.9s,-13.906639,948.75,948.75,9.45,V (Johnson),9.7,4545,2.12,19.17,9/6/18,La Silla Observatory
BD-17 63,b,BD-17 63 b,Radial Velocity,0,1,655.6,1.34,0.54,,5.1,Msini,,,0,0,0,0,00h28m34.31s,7.142942,-16d13m34.8s,-16.226345,34.49,34.49,9.566,V (Johnson),9.201,4714,0.74,0.69,5/14/14,La Silla Observatory
CFBDSIR J145829+101343,b,CFBDSIR J145829+101343 b,Imaging,0,1,10037.5,2.6,,,10.5,Mass,,,0,0,0,1,14h58m29.00s,224.620833,+10d13m43.0s,10.228611,23.1,,,,,580.5,0.02,,5/14/14,W. M. Keck Observatory
CHXR 73,b,CHXR 73 b,Imaging,0,1,,210,,,12.569,Mass,,,0,0,0,0,11h06m28.77s,166.619893,-77d37m33.2s,-77.625877,191.05,191.05,,,17.293,,0.35,,5/14/14,Hubble Space Telescope
CI Tau,b,CI Tau b,Radial Velocity,0,1,8.9891,,0.25,50.5,11.6,Mass,,,0,0,0,0,04h33m52.01s,68.466728,+22d50m30.1s,22.841696,158,158.71,12.939,V (Johnson),12.145,,0.9,,6/27/19,Multiple Observatories
CT Cha,b,CT Cha b,Imaging,0,1,,440,,,17,Mass,2.2,,0,0,0,0,11h04m09.09s,166.037877,-76d27m19.4s,-76.455383,165,191.78,,,11.773,,,,5/14/14,Paranal Observatory
CoRoT-1,b,CoRoT-1 b,Transit,0,1,1.5089557,,0,85.1,1.03,Mass,1.49,0.38,0,0,0,0,06h48m19.17s,102.079885,-03d06m07.7s,-3.102147,805.31,805.31,13.6,V (Johnson),13.457,5950,0.95,1.11,5/14/14,CoRoT
CoRoT-10,b,CoRoT-10 b,Transit,0,1,13.2406,0.1055,0.53,88.55,2.75,Mass,0.97,3.7,0,0,0,0,19h24m15.29s,291.063708,+00d44m46.1s,0.746143,345,341.65,15.22,V (Johnson),14.665,5075,0.89,0.79,5/14/14,CoRoT
CoRoT-11,b,CoRoT-11 b,Transit,0,1,2.99433,0.0436,0,83.17,2.33,Mass,1.43,0.99,0,0,0,0,18h42m44.94s,280.687263,+05d56m15.7s,5.937688,560,666.35,12.939,V (Johnson),12.841,6440,1.27,1.37,5/14/14,CoRoT
CoRoT-12,b,CoRoT-12 b,Transit,0,1,2.828042,0.04016,0.07,85.48,0.917,Mass,1.44,0.411,0,0,0,0,06h43m03.76s,100.765677,-01d17m47.2s,-1.296439,1150,1161.12,15.515,V (Johnson),15.345,5675,1.08,1.12,5/14/14,CoRoT
CoRoT-13,b,CoRoT-13 b,Transit,0,1,4.03519,0.051,0,88.02,1.308,Mass,0.885,2.34,0,0,0,0,06h50m53.07s,102.721137,-05d05m11.2s,-5.086445,1060,1184.91,15.039,V (Johnson),14.915,5945,1.09,1.01,5/14/14,CoRoT
CoRoT-14,b,CoRoT-14 b,Transit,0,1,1.51214,0.027,0,79.6,7.6,Mass,1.09,7.3,0,0,0,0,06h53m41.81s,103.424211,-05d32m09.7s,-5.536037,1340,1826.96,16.033,V (Johnson),15.812,6035,1.13,1.21,5/14/14,CoRoT
CoRoT-16,b,CoRoT-16 b,Transit,0,1,5.35227,0.0618,0.33,85.01,0.535,Mass,1.17,0.44,0,0,0,0,18h34m05.93s,278.524691,-06d00m09.3s,-6.002595,840,745.96,15.63,V (Johnson),15.651,5650,1.1,1.19,5/14/14,CoRoT
CoRoT-17,b,CoRoT-17 b,Transit,0,1,3.7681,0.0461,0,88.34,2.43,Mass,1.02,2.82,0,0,0,0,18h34m47.82s,278.699254,-06d36m44.0s,-6.612234,920,1214.51,15.46,V (Johnson),15.437,5740,1.04,1.59,5/14/14,CoRoT
CoRoT-18,b,CoRoT-18 b,Transit,0,1,1.9000693,0.0295,0.08,86.5,3.47,Mass,1.31,2.2,0,0,0,0,06h32m41.38s,98.17241,-00d01m53.7s,-0.031586,870,780.87,15,V (Johnson),14.801,5440,0.95,1,5/14/14,CoRoT
CoRoT-19,b,CoRoT-19 b,Transit,0,1,3.89713,0.0518,0.047,88,1.11,Mass,1.29,0.71,0,0,0,0,06h28m08.06s,97.033582,-00d10m14.5s,-0.170681,770,807.99,14.007,V (Johnson),13.783,6090,1.21,1.65,5/14/14,CoRoT
CoRoT-2,b,CoRoT-2 b,Transit,0,1,1.7429935,0.02798,0.0143,88.08,3.47,Mass,1.466,1.47,1,0,0,2,19h27m06.49s,291.777056,+01d23m01.4s,1.383714,200,214.56,12.57,V (Johnson),12.249,5625,0.96,0.91,5/14/14,CoRoT
CoRoT-20,b,CoRoT-20 b,Transit,0,2,9.24285,0.09,0.59,88.21,4.3,Mass,,,0,0,0,1,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,864.31,864.31,14.66,V (Johnson),14.469,,1.14,,7/19/18,CoRoT
CoRoT-20,c,CoRoT-20 c,Radial Velocity,0,2,1675,2.9,0.6,,17,Msini,,,0,0,0,0,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,864.31,864.31,14.66,V (Johnson),14.469,,1.14,,7/19/18,Multiple Observatories
CoRoT-21,b,CoRoT-21 b,Transit,0,1,2.72474,0.0417,0,86.8,2.26,Mass,1.3,1.36,0,0,0,0,06h44m12.588s,101.05245,-00d17m56.868s,-0.29913,1398.83,1398.83,16,V (Johnson),15.856,6200,1.29,1.95,12/6/18,CoRoT
CoRoT-22,b,CoRoT-22 b,Transit,0,1,9.75598,0.092,0.077,89.749,0.038,Mass,0.435,0.249,0,0,0,0,18h42m40.11s,280.667115,+06d13m08.9s,6.219136,592,638.47,13.944,V (Johnson),13.73,5939,1.1,1.14,8/21/14,CoRoT
CoRoT-23,b,CoRoT-23 b,Transit,0,1,3.6313,0.048,0.16,85.7,2.8,Mass,1.05,3,0,0,0,0,18h39m07.83s,279.782615,+04d21m28.1s,4.357806,600,1092.4,15.63,V (Johnson),15.068,5900,1.14,1.61,5/14/14,CoRoT
CoRoT-24,b,CoRoT-24 b,Transit,0,2,5.1134,0.056,0,86.5,0.018,Mass,0.33,0.9,0,0,0,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600,601.22,,,15.18,4950,0.91,0.86,5/31/18,CoRoT
CoRoT-24,c,CoRoT-24 c,Transit,0,2,11.759,0.098,0,89,0.088,Mass,0.44,1.3,0,0,0,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600,601.22,,,15.18,4950,0.91,0.86,6/11/14,CoRoT
CoRoT-25,b,CoRoT-25 b,Transit,0,1,4.86069,0.0578,0,84.5,0.27,Mass,1.08,0.15,0,0,0,0,18h42m31.12s,280.629662,+06d30m49.8s,6.513829,1000,1137.85,,,14.711,6040,1.09,1.19,5/14/14,CoRoT
CoRoT-26,b,CoRoT-26 b,Transit,0,1,4.20474,0.0526,0,86.8,0.52,Mass,1.26,0.28,0,0,0,0,18h39m00.12s,279.750514,+06d58m11.2s,6.969787,1670,,,,15.468,5590,1.09,1.79,5/14/14,CoRoT
CoRoT-27,b,CoRoT-27 b,Transit,0,1,3.57532,0.0476,0.065,86.7,10.39,Mass,1.007,12.6,0,0,0,0,18h33m59.00s,278.495813,+05d32m18.5s,5.538462,1035.15,1035.15,15.54,V (Johnson),15.39,5900,1.05,1.08,5/14/14,CoRoT
CoRoT-28,b,CoRoT-28 b,Transit,0,1,5.20851,0.0603,0.047,88.1,0.484,Mass,0.955,0.69,0,0,0,0,18h34m45.20s,278.688338,+05d34m25.4s,5.57373,560,783.18,,,13.412,5150,1.01,1.78,4/16/15,CoRoT
CoRoT-29,b,CoRoT-29 b,Transit,0,1,2.85057,0.0386,0.082,87.3,0.85,Mass,0.9,1.45,0,0,0,0,18h35m36.50s,278.902103,+06d28m46.7s,6.479651,765,822.62,,,15.239,5260,0.97,0.9,4/16/15,CoRoT
CoRoT-3,b,CoRoT-3 b,Transit,0,1,4.2568,,0,85.9,21.66,Mass,1.01,26.4,0,0,0,0,19h28m13.26s,292.055263,+00d07m18.6s,0.12182,680,784.49,13.292,V (Johnson),13.219,6740,1.37,1.56,5/14/14,CoRoT
CoRoT-30,b,CoRoT-30 b,Transit,0,1,9.06005,0.0844,0.007,90,2.9,Mass,1.009,3.45,0,0,0,0,18h30m24.264s,277.6011,+06d50m09.424s,6.835951,960,1061.07,15.65,V (Johnson),15.413,5650,0.98,0.91,4/16/20,CoRoT
CoRoT-31,b,CoRoT-31 b,Transit,0,1,4.62941,0.0586,0.02,83.2,0.84,Mass,1.46,0.33,0,0,0,0,06h19m16.975s,94.820729,-04d25m20.194s,-4.422276,2190,2127.54,,,15.465,5700,1.25,2.15,4/16/20,CoRoT
CoRoT-4,b,CoRoT-4 b,Transit,0,1,9.20205,0.09,0,90,0.72,Mass,1.19,0.525,0,0,0,0,06h48m46.72s,102.194663,-00d40m22.0s,-0.672774,741.6,741.6,,,13.561,6190,1.16,1.17,5/14/14,CoRoT
CoRoT-5,b,CoRoT-5 b,Transit,0,1,4.0378962,0.04947,0.09,85.83,0.467,Mass,1.388,0.217,0,0,0,0,06h45m06.54s,101.277254,+00d48m54.9s,0.815239,904.65,904.65,,,13.902,6100,1,1.19,5/14/14,CoRoT
CoRoT-6,b,CoRoT-6 b,Transit,0,1,8.886593,0.0855,0.1,89.07,2.96,Mass,1.166,2.32,0,0,0,0,18h44m17.41s,281.072525,+06d39m47.5s,6.663194,657.24,657.24,13.912,V (Johnson),13.746,6090,1.05,1.02,5/14/14,CoRoT
CoRoT-7,b,CoRoT-7 b,Transit,0,2,0.85359163,,0,80.1,0.01283,Mass,0.15,,0,0,0,1,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,160.64,160.64,11.668,V (Johnson),11.524,5275,0.82,0.83,11/19/20,CoRoT
CoRoT-7,c,CoRoT-7 c,Radial Velocity,0,2,3.698,0.046,0,80,0.02643,Mass,,,0,0,0,0,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,160.64,160.64,11.668,V (Johnson),11.524,5275,0.82,0.83,9/10/15,CoRoT
